system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
48,"[0.20732998565543936, 0.17036392105139214, 0.1650996274327223, 0.15645289283836958, 0.15307248491307543, 0.1425347782118935, 0.16591253930840366]","[163.17518725654375, -77.61204069306538]",2019-01-06T00:00:00,"[0.5362335149873966, 0.5097803243168476, 0.5176169753524554, 0.4237376192697055, 0.012194244570631766, 0.011450387737898745, 0.509335744174101]","[163.17537161413546, -77.5996182219057]",48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[0.2919289793390412, 0.25241860799475946, 0.2510917863992531, 0.24078267306796236, 0.14306043642408858, 0.13569160165414643, 0.25136033203111835]","[163.17518725654375, -77.61204069306538]",2019-01-11T00:00:00,"[0.4912018881587484, 0.45436760179674496, 0.4578471195248593, 0.39073795336237716, 0.07028505412890663, 0.06866661976421631, 0.45700130677777434]","[163.17537161413546, -77.5996182219057]",49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[0.20883632783813866, 0.17104562245542057, 0.16330865290692642, 0.15259989342187624, 0.1479258343749165, 0.13767216431987797, 0.16533322408260084]","[163.17518725654375, -77.61204069306538]",2019-01-15T00:00:00,"[0.5588698151365917, 0.5343229766000006, 0.5502123478405155, 0.4814054212691934, 0.025285500693340675, 0.025320881197845587, 0.5390100697178635]","[163.17537161413546, -77.5996182219057]",50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[0.21111745901333476, 0.1693342335507169, 0.16184406939578286, 0.15161408419525513, 0.14653097375153248, 0.13681650861683856, 0.16466979583453834]","[163.17518725654375, -77.61204069306538]",2019-01-24T00:00:00,"[0.5754958554841096, 0.5443060479999269, 0.5648612029593039, 0.5001529977328295, 0.027903614722850335, 0.02865670147020792, 0.5514009076726317]","[163.17537161413546, -77.5996182219057]",51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[0.22164405878372007, 0.17440444059119234, 0.16798200775935065, 0.15615892109988588, 0.1436095369087415, 0.13390773879778747, 0.17076267356862448]","[163.17518725654375, -77.61204069306538]",2019-11-06T00:00:00,"[0.4937285928210972, 0.447569175200925, 0.4506508365344726, 0.3363726260527877, 0.02050434024234029, 0.01898218423034696, 0.4488479302117181]","[163.17537161413546, -77.5996182219057]",52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,"[0.2153787103528874, 0.16900597449967542, 0.16362000152432396, 0.15347611153554336, 0.1437563336153858, 0.13444617926867491, 0.1637228479064159]","[163.17518725654375, -77.61204069306538]",2019-11-08T00:00:00,"[0.4811084287407071, 0.43486264460596524, 0.43823416257377446, 0.32918983139697044, 0.02264660796446265, 0.020998127668095803, 0.4366505552457764]","[163.17537161413546, -77.5996182219057]",53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,"[0.21217968505545887, 0.16808015035678844, 0.1621332683053707, 0.15155909345022922, 0.1450412441206859, 0.13599519035366708, 0.16286857054387774]","[163.17518725654375, -77.61204069306538]",2019-11-11T00:00:00,"[0.49061650729565126, 0.4460373868650949, 0.44750396724364283, 0.33359449769844157, 0.024550658739170957, 0.023197579287754694, 0.4508387554668037]","[163.17537161413546, -77.5996182219057]",54,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,"[0.21576344528682226, 0.17041297577572143, 0.1650874588480539, 0.15561697128582905, 0.15053244830378293, 0.1415472193632157, 0.16609779227067326]","[163.17518725654375, -77.61204069306538]",2019-11-15T00:00:00,"[0.5138534647168796, 0.4699773819040464, 0.476171321801034, 0.36916604661670505, 0.03233293252077484, 0.031205290653088465, 0.4775405179956667]","[163.17537161413546, -77.5996182219057]",55,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,"[0.2151943785871488, 0.1732769975474604, 0.16933755793899558, 0.16166959475108528, 0.1553653200892509, 0.1470381651008408, 0.16937623574407493]","[163.17518725654375, -77.61204069306538]",2019-11-17T00:00:00,"[0.500767077053844, 0.46120000562033175, 0.46706244289253035, 0.35998271040483304, 0.02894302640483086, 0.027499432401098155, 0.46647675940765526]","[163.17537161413546, -77.5996182219057]",56,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[0.26702377092355617, 0.2312126185661126, 0.22970742338760888, 0.2154486169385449, 0.15887601260592693, 0.14827677583841023, 0.22722435829312773]","[163.17518725654375, -77.61204069306538]",2019-11-24T00:00:00,"[0.46205083987725265, 0.42772514976741877, 0.42788826283668496, 0.3408853285749763, 0.06519287639357674, 0.0621270870830944, 0.4273230044079182]","[163.17537161413546, -77.5996182219057]",57,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[0.20568990528674896, 0.17053474482649109, 0.16579535833981293, 0.15537074688078145, 0.14875626594714417, 0.13911289774549077, 0.16536974337875937]","[163.17518725654375, -77.61204069306538]",2019-11-27T00:00:00,"[0.48497154824938715, 0.4584277666932897, 0.4678784911040595, 0.37022592190104026, 0.013545346887448316, 0.0124117134780194, 0.4625393336098437]","[163.17537161413546, -77.5996182219057]",58,"{""type"":""MultiPoint"",""coordinates"":[]}"
